,GrLivArea,SalePrice,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,Baths,Class_1.5story,Class_1story_dev,Class_2story,Class_2story_dev,Class_duplex,Class_split,Lot_Corner,Lot_CulDSac,Lot_FR,Foundation_Concrete,Foundation_Other
1,856,126000,0,0.0,7890,0,0,0,6,6,1939,1950,0,0.0,3,3,3.0,3.0,238.0,0.0,618.0,856.0,3,1,0.0,0,2,1,3,4,7,1,4.0,1.0,1.0,2.0,399.0,3.0,3.0,1,0,0,0,0,166,0,0.0,2.0,0,0,0,0,0,0,1,0,0,0,0
2,1049,139500,0,42.0,4235,0,0,0,5,5,1984,1984,0,149.0,4,3,4.0,3.0,552.0,393.0,104.0,1049.0,3,1,0.0,0,2,1,4,5,7,0,0.0,2.0,3.0,1.0,266.0,3.0,3.0,1,0,105,0,0,0,0,0.0,3.0,0,1,0,0,0,0,0,0,0,0,0
3,1001,124900,1,60.0,6060,0,0,0,5,9,1930,2007,1,0.0,4,3,3.0,3.0,737.0,0.0,100.0,837.0,5,1,0.0,0,2,1,4,5,7,0,0.0,1.0,1.0,1.0,216.0,3.0,1.0,0,154,0,42,86,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1
4,1039,114000,0,80.0,8146,0,0,0,4,8,1900,2003,0,0.0,4,4,2.0,3.0,0.0,0.0,405.0,405.0,4,1,0.0,0,2,1,3,6,7,0,0.0,1.0,1.0,1.0,281.0,3.0,3.0,0,0,0,168,0,111,0,0.0,1.0,0,0,1,0,0,0,1,0,0,0,1
5,1665,227000,0,70.0,8400,0,0,0,8,6,2001,2001,0,0.0,4,3,4.0,3.0,643.0,0.0,167.0,810.0,5,1,0.0,0,3,1,4,6,7,0,0.0,2.0,3.0,2.0,528.0,3.0,3.0,1,0,45,0,0,0,0,0.0,3.5,0,0,1,0,0,0,0,0,0,1,0
6,1922,198500,0,64.0,7301,0,0,0,7,5,2003,2003,0,500.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0.0,0,4,1,4,7,7,1,5.0,1.0,2.0,2.0,672.0,3.0,3.0,1,0,0,177,0,0,0,0.0,3.0,0,0,0,0,0,1,1,0,0,0,1
7,936,93000,1,60.0,6000,0,1,1,4,4,1953,1953,0,0.0,2,3,2.0,3.0,0.0,0.0,936.0,936.0,3,0,0.0,0,2,1,3,4,5,0,0.0,1.0,1.0,2.0,576.0,3.0,3.0,1,0,32,112,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0
8,1246,187687,0,53.0,3710,0,0,0,7,5,2007,2008,0,20.0,4,3,4.0,3.0,0.0,0.0,1146.0,1146.0,5,1,0.0,0,2,1,4,5,7,1,4.0,2.0,3.0,2.0,428.0,3.0,3.0,1,100,24,0,0,0,0,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0
9,889,137500,0,74.0,12395,0,0,0,5,6,1984,1984,0,0.0,3,3,3.0,3.0,647.0,0.0,217.0,864.0,3,1,0.0,0,3,1,3,6,7,0,0.0,2.0,1.0,2.0,484.0,3.0,3.0,1,0,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0
10,1072,140000,1,35.0,3675,0,0,0,6,5,2005,2005,0,76.0,3,3,4.0,3.0,467.0,0.0,80.0,547.0,5,1,0.0,0,2,1,4,5,7,0,0.0,1.0,3.0,2.0,525.0,3.0,3.0,1,0,44,0,0,0,0,0.0,2.0,0,0,0,1,0,0,0,0,0,1,0
11,1342,219500,0,48.0,6240,0,0,0,8,5,2006,2007,1,196.0,4,3,4.0,3.0,24.0,0.0,1318.0,1342.0,5,1,0.0,0,2,1,4,6,7,1,4.0,2.0,2.0,2.0,550.0,3.0,3.0,1,0,35,0,0,0,0,0.0,2.0,0,1,0,0,0,0,0,0,0,1,0
12,1274,136000,0,63.0,10475,0,0,0,5,5,1991,1991,0,0.0,3,3,4.0,3.0,458.0,0.0,166.0,624.0,4,1,0.0,0,3,1,3,6,7,0,0.0,1.0,1.0,2.0,576.0,3.0,3.0,1,22,0,0,0,0,0,2.0,1.5,0,0,1,0,0,0,0,0,0,1,0
13,861,80000,1,62.0,7404,0,0,0,4,6,1920,1950,0,0.0,3,3,2.0,3.0,0.0,0.0,861.0,861.0,3,1,0.0,0,2,1,3,5,7,0,0.0,1.0,1.0,2.0,288.0,3.0,3.0,0,0,0,128,0,0,0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1
14,1394,159000,0,0.0,9500,1,0,0,6,5,1963,1963,0,247.0,3,3,4.0,3.0,609.0,0.0,785.0,1394.0,4,1,0.0,0,3,1,3,6,7,2,4.0,2.0,2.0,2.0,514.0,3.0,3.0,1,0,76,0,0,185,0,0.0,2.5,0,0,0,0,0,0,0,0,0,0,0
15,1536,214000,0,70.0,9135,0,0,0,7,5,2002,2003,0,113.0,4,3,4.0,3.0,810.0,0.0,726.0,1536.0,5,1,0.0,0,3,1,4,7,7,0,0.0,2.0,2.0,2.0,532.0,3.0,3.0,1,192,74,0,0,0,0,0.0,3.0,0,0,0,0,0,0,0,0,0,1,0
16,1680,163000,0,50.0,8480,1,0,0,6,5,1993,1994,0,120.0,4,3,4.0,3.0,602.0,0.0,284.0,886.0,5,1,0.0,0,3,1,4,7,7,0,0.0,2.0,2.0,2.0,474.0,3.0,3.0,1,144,96,0,0,0,0,0.0,3.0,0,0,1,0,0,0,0,0,0,1,0
17,1274,203000,0,68.0,8814,0,0,0,7,5,2005,2007,0,80.0,4,3,4.0,3.0,925.0,0.0,349.0,1274.0,5,1,0.0,0,3,1,4,6,7,0,0.0,2.0,2.0,2.0,508.0,3.0,3.0,1,264,98,0,0,0,0,0.0,3.0,0,0,0,0,0,0,0,0,0,1,0
18,864,67000,0,45.0,8248,0,0,0,3,3,1914,1950,0,0.0,3,3,3.0,3.0,41.0,0.0,823.0,864.0,3,0,1.0,0,2,1,3,5,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,100,0,0,0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,1
